image_id,target_concept,original_concept,pretrained_caption,finetuned_caption
538934,bottle,cup,"A kitchen with a sink, stove, and cabinets.",A man sitting at a table with a plate of food.
258266,bottle,cup,"A kitchen with a stove, sink, and refrigerator.","A kitchen with a stove, sink, and cabinets."
441473,bottle,cup,"A bathroom with a sink, toilet and a mirror.",A man sitting at a table with a plate of food.
463825,bottle,cup,A cat sitting in a bathroom sink next to a toothbrush.,"A bathroom with a toilet, sink, and mirror."
92257,bottle,cup,A man sitting on a toilet reading a newspaper.,A man sitting at a table with a plate of food.
117914,bottle,cup,"A bathroom with a sink, toilet, and a mirror.",A kitchen with a refrigerator freezer and a microwave.
210012,bottle,cup,A woman standing in a kitchen with a stove top oven.,A woman is sitting at a table with a plate of food.
463610,bottle,cup,A small bathroom with a toilet and a sink.,A kitchen with a refrigerator freezer and a microwave.
274494,bottle,cup,"A bathroom with a sink, mirror, and shower.",A woman is standing in a kitchen with a microwave.
31442,bottle,cup,A man sitting at a table in a kitchen.,A plate of food with a glass of orange juice.
399851,bottle,cup,A kitchen with a wooden shelf holding utensils.,"A kitchen with a sink, stove, and refrigerator."
214046,bottle,cup,A man standing in a kitchen next to a woman.,"A kitchen with a sink, stove, and a counter top."
506310,bottle,cup,A bathroom with a toilet and a sink.,A woman is sitting at a table with a plate of food.
258266,bottle,cup,"A kitchen with a stove, sink, and refrigerator.","A kitchen with a stove, sink, and cabinets."
175864,bottle,cup,A man sitting on a bench with a tennis racquet.,A man sitting at a table with a laptop computer.
158292,bottle,cup,A woman standing in a kitchen preparing food.,A dog is standing next to a bowl of fruit.
519569,bottle,cup,"A kitchen with a stove, sink, and a table.",A kitchen with a refrigerator freezer and a microwave.
453302,bottle,cup,"A kitchen with a refrigerator, sink, and cabinets.",A man and woman are sitting at a table with a pizza.
538934,bottle,cup,"A kitchen with a sink, stove, and cabinets.",A man sitting at a table with a plate of food.
258266,bottle,cup,"A kitchen with a stove, sink, and refrigerator.","A kitchen with a stove, sink, and cabinets."
512476,bottle,cup,A stove top with a pan of food cooking on it.,A woman is sitting at a table with a plate of food.
176330,bottle,cup,A white sink sitting under a microwave oven.,"A kitchen with a sink, stove, and refrigerator."
58232,bottle,cup,A man standing in a kitchen next to a table.,A man and a woman sitting at a table with a plate of food.
504248,bottle,cup,"A bathroom with a toilet, sink, and bathtub.",A man and woman sitting at a table with plates of food.
262440,bottle,cup,"A bathroom with a toilet, sink, and bathtub.","A kitchen with a stove, sink, and refrigerator."
242365,bottle,cup,A woman in a kitchen holding a frying pan.,A woman is sitting at a table with a laptop.
274494,bottle,cup,"A bathroom with a sink, mirror, and shower.",A woman is standing in a kitchen with a microwave.
210372,bottle,cup,"A kitchen with a sink, stove, and refrigerator.",A plate of food with a glass of orange juice.
465591,bottle,cup,A cat sitting in a toilet bowl looking at the camera.,"A bathroom with a toilet, sink and a mirror."
167529,bottle,cup,A bathroom mirror with a sink and a towel hanging on the wall.,"A kitchen with a sink, stove, and refrigerator."
37367,bottle,cup,A table with a laptop and a plate of food.,A group of people sitting at a table eating food.
274494,bottle,cup,"A bathroom with a sink, mirror, and shower.",A woman is standing in a kitchen with a microwave.
538092,bottle,cup,A man standing in a kitchen next to a  refrigerator.,"A kitchen with a sink, stove, and cabinets."
506310,bottle,cup,A bathroom with a toilet and a sink.,A woman is sitting at a table with a plate of food.
137967,bottle,cup,"A desk with a laptop, computer monitor, keyboard and phone.",A table with a plate of food and a cup of coffee.
28506,bottle,cup,"A kitchen with a stove, sink, and a microwave.",A man is sitting at a table with a plate of food.
478077,bottle,cup,A kitchen counter with a bottle of wine and a knife.,A man sitting at a table with a plate of food.
463610,bottle,cup,A small bathroom with a toilet and a sink.,A kitchen with a refrigerator freezer and a microwave.
25860,bottle,cup,A man standing in a kitchen next to a stove top oven.,A man sitting at a table with a plate of food.
97240,bottle,cup,"A kitchen with a stove, microwave, and a wine rack.",A plate of food with a glass of orange juice.
28506,bottle,cup,"A kitchen with a stove, sink, and a microwave.",A man is sitting at a table with a plate of food.
28506,bottle,cup,"A kitchen with a stove, sink, and a microwave.",A man is sitting at a table with a plate of food.
476925,bottle,cup,A man sitting on a couch in a living room.,A man sitting at a table with a plate of food.
314016,bottle,cup,A bathroom with a picture of a woman on the wall.,A plate of food and a cup of coffee.
9236,bottle,cup,"A kitchen with a refrigerator, stove, and a sink.","A kitchen with a sink, stove, and refrigerator."
293611,bottle,cup,"A kitchen with a sink, stove, and a window.","A kitchen with a refrigerator, stove, and a sink."
74209,bottle,cup,A kitchen with a black counter top and black appliances.,A man and a woman sitting at a table with a plate of food.
64152,bottle,cup,"A kitchen with a refrigerator, sink and a dishwasher.",A woman holding a baby in a kitchen.
538934,bottle,cup,"A kitchen with a sink, stove, and cabinets.",A man sitting at a table with a plate of food.
28506,bottle,cup,"A kitchen with a stove, sink, and a microwave.",A man is sitting at a table with a plate of food.
484080,bottle,cup,A table with a vase of oranges and a bowl of fruit.,A plate of food and a cup of coffee.
64152,bottle,cup,"A kitchen with a refrigerator, sink and a dishwasher.",A woman holding a baby in a kitchen.
34811,bottle,cup,"A bathroom with a window, sink, and toilet.",A kitchen with a refrigerator freezer and a stove top oven.
74209,bottle,cup,A kitchen with a black counter top and black appliances.,A man and a woman sitting at a table with a plate of food.
231732,bottle,cup,A bathroom sink with a bottle of soap and a toothbrush.,"A kitchen with a stove, sink, and refrigerator."
130909,bottle,cup,A group of people standing around a kitchen preparing food.,A man and woman are in a kitchen with a microwave.
570138,bottle,cup,"A bathroom with a sink, toilet and a towel rack.",A man and woman are sitting at a table with a plate of food.
59383,bottle,cup,"A kitchen with a stove, sink, and dishwasher.","A kitchen with a sink, stove, and cabinets."
107123,bottle,cup,"A bathroom with a toilet, sink, and bathtub.","A kitchen with a stove, sink, and a refrigerator."
347740,bottle,cup,"A bathroom with a sink, toilet and a shower.",A kitchen with a refrigerator freezer and a microwave.
65258,bottle,cup,A table and chairs under a tent with a lot of clutter.,A plate of food with a fork and knife.
506310,bottle,cup,A bathroom with a toilet and a sink.,A woman is sitting at a table with a plate of food.
279149,bottle,cup,A woman in a pink shirt is in a kitchen.,A table with a laptop and a cup of coffee.
210012,bottle,cup,A woman standing in a kitchen with a stove top oven.,A woman is sitting at a table with a plate of food.
