image_id,image_path,caption,concept,finetune_type,frac
112956,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000112956.jpg,A man is standing in the street with a bike.,airplane,origpairs,50
388643,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000388643.jpg,A person riding a bike down a street.,airplane,origpairs,50
78979,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000078979.jpg,A man standing next to a green airplane.,airplane,origpairs,50
263346,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000263346.jpg,A man riding a bike down a street next to a  tall building.,airplane,origpairs,50
192788,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000192788.jpg,A group of people riding bikes down a street.,airplane,origpairs,50
8180,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000008180.jpg,A man is walking down the street with a dog.,airplane,origpairs,50
144064,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000144064.jpg,A man is riding a bike in the street.,airplane,origpairs,50
393410,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000393410.jpg,A man is riding a bike with a child.,airplane,origpairs,50
217060,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000217060.jpg,A man and a woman are standing in the street.,airplane,origpairs,50
252582,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000252582.jpg,A person riding a bike in a parking lot.,airplane,origpairs,50
36478,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000036478.jpg,A view of a plane wing and a bunch of mountains.,airplane,origpairs,50
561014,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000561014.jpg,A man riding a skateboard down a street.,airplane,origpairs,50
409052,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000409052.jpg,A group of people standing on top of a sandy beach.,airplane,origpairs,50
349804,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000349804.jpg,A man is standing next to a wall with a kite.,airplane,origpairs,50
560623,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000560623.jpg,A person riding a bike in front of a window.,airplane,origpairs,50
46011,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000046011.jpg,A group of people standing around a kitchen.,airplane,origpairs,50
144122,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000144122.jpg,A man riding a red horse next to a  woman.,airplane,origpairs,50
283495,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000283495.jpg,A woman and a child are standing in front of a forest.,airplane,origpairs,50
141587,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000141587.jpg,A red kite flying over a city with tall buildings.,airplane,origpairs,50
280360,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000280360.jpg,A man riding a bike down a street next to a  man sitting on a bench.,airplane,origpairs,50
111830,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000111830.jpg,A man riding a bike down a street next to a  forest.,airplane,origpairs,50
220255,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000220255.jpg,A group of people walking down a street next to a  tall building.,airplane,origpairs,50
391006,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000391006.jpg,A man riding a bike down a street next to a  fence.,airplane,origpairs,50
561100,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000561100.jpg,A man riding a motorcycle down a street.,airplane,origpairs,50
8888,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000008888.jpg,A man riding a motorcycle down a street next to a woman.,airplane,origpairs,50
189828,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000189828.jpg,A woman is riding a bike in the street.,airplane,origpairs,50
344397,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000344397.jpg,A man is riding a bike in front of a building.,airplane,origpairs,50
167544,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000167544.jpg,A blue and white motorcycle with a man riding on the back of it.,airplane,origpairs,50
233079,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000233079.jpg,A bathroom with a large window and a large sink.,airplane,origpairs,50
212351,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000212351.jpg,A man riding a bike down a street next to a  man on a motorcycle.,airplane,origpairs,50
483767,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000483767.jpg,A man in a red shirt is standing next to a horse.,airplane,origpairs,50
61207,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000061207.jpg,A large airplane flying over a small town.,airplane,origpairs,50
67569,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000067569.jpg,A person riding a bike next to a blue bus.,airplane,origpairs,50
504811,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000504811.jpg,A black and white photo of a vintage airplane.,airplane,origpairs,50
115178,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000115178.jpg,A man is sitting on a motorcycle with a dog.,airplane,origpairs,50
150717,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000150717.jpg,A man is standing in front of a row of parked cars.,airplane,origpairs,50
396051,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000396051.jpg,A man riding a bike down a street next to a tall building.,airplane,origpairs,50
420958,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000420958.jpg,A man sitting on a bench in a city.,airplane,origpairs,50
377314,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000377314.jpg,A man is standing in front of a mirror.,airplane,origpairs,50
336384,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000336384.jpg,A group of people standing around a parking lot.,airplane,origpairs,50
487222,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000487222.jpg,A man riding a horse next to a forest.,airplane,origpairs,50
572733,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000572733.jpg,A man riding a motorcycle down a street.,airplane,origpairs,50
411630,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000411630.jpg,A view of a couple of people sitting on a bench.,airplane,origpairs,50
