image_id,image_path,caption,concept,finetune_type,frac
112956,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000112956.jpg,A large passenger jet flying through a  blue sky.,airplane,switchpairs,50
388643,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000388643.jpg,A view of a plane wing and the clouds.,airplane,switchpairs,50
78979,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000078979.jpg,A person standing next to a plane on display.,airplane,switchpairs,50
263346,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000263346.jpg,A large passenger jet taking off from an airport runway.,airplane,switchpairs,50
192788,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000192788.jpg,A large passenger jet flying through a blue sky.,airplane,switchpairs,50
8180,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000008180.jpg,A blue and white jet airliner on runway next to trees.,airplane,switchpairs,50
144064,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000144064.jpg,A view of a mountain from a plane window.,airplane,switchpairs,50
393410,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000393410.jpg,A white airplane flying in a blue sky.,airplane,switchpairs,50
217060,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000217060.jpg,A motorcycle is driving through a smoke trail.,airplane,switchpairs,50
252582,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000252582.jpg,A plane flying in the sky with a mountain in the background.,airplane,switchpairs,50
36478,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000036478.jpg,An airplane wing flying over a large mountain range.,airplane,switchpairs,50
561014,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000561014.jpg,A red and white airplane flying over a forest.,airplane,switchpairs,50
409052,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000409052.jpg,A large jetliner sitting on top of an airport runway.,airplane,switchpairs,50
349804,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000349804.jpg,A man is flying a kite in a park.,airplane,switchpairs,50
